mpi,opt,opt_name,fep,time
336,46,fgmres ksp_right P_max=2,41.182,90.519
336,46,fgmres ksp_right P_max=2,41.157,90.36
336,46,fgmres ksp_right P_max=2,41.656,90.992
336,46,fgmres ksp_right P_max=2,38.49,87.681
336,46,fgmres ksp_right P_max=2,39.613,88.891
336,46,fgmres ksp_right P_max=2,37.202,86.285
336,46,fgmres ksp_right P_max=2,41.459,90.535
336,46,fgmres ksp_right P_max=2,37.379,86.705
336,46,fgmres ksp_right P_max=2,37.863,87.801
336,46,fgmres ksp_right P_max=2,40.661,89.694
336,47,fgmres ksp_left ksp_right P_max=2,41.429,90.621
336,47,fgmres ksp_left ksp_right P_max=2,39.844,89.172
336,47,fgmres ksp_left ksp_right P_max=2,40.453,90.459
336,47,fgmres ksp_left ksp_right P_max=2,37.118,86.444
336,47,fgmres ksp_left ksp_right P_max=2,36.876,87.005
336,47,fgmres ksp_left ksp_right P_max=2,39.757,89.184
336,47,fgmres ksp_left ksp_right P_max=2,40.195,89.953
336,47,fgmres ksp_left ksp_right P_max=2,39.035,89.519
336,47,fgmres ksp_left ksp_right P_max=2,37.808,87.36
336,47,fgmres ksp_left ksp_right P_max=2,43.335,93.436
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,40.987,89.951
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.926,89.512
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,37.784,87.339
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,37.488,87.027
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.562,89.067
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,42.553,92.791
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,37.813,87.425
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,44.28,94.111
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,43.841,93.371
336,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,36.734,86.022
336,62,fgmres P_max=2,37.837,86.94
336,62,fgmres P_max=2,36.96,86.532
336,62,fgmres P_max=2,40.994,90.985
336,62,fgmres P_max=2,36.567,86.443
336,62,fgmres P_max=2,37.562,87.35
336,62,fgmres P_max=2,39.571,89.399
336,62,fgmres P_max=2,38.67,88.137
336,62,fgmres P_max=2,37.382,86.917
336,62,fgmres P_max=2,36.497,85.589
336,62,fgmres P_max=2,38.135,87.871
392,46,fgmres ksp_right P_max=2,40.789,83.138
392,46,fgmres ksp_right P_max=2,38.316,81.229
392,46,fgmres ksp_right P_max=2,41.318,83.79
392,46,fgmres ksp_right P_max=2,39.638,82.522
392,46,fgmres ksp_right P_max=2,42.9,85.651
392,46,fgmres ksp_right P_max=2,41.731,84.509
392,46,fgmres ksp_right P_max=2,39.673,82.943
392,46,fgmres ksp_right P_max=2,38.652,81.309
392,46,fgmres ksp_right P_max=2,38.998,81.901
392,46,fgmres ksp_right P_max=2,38.512,81.291
392,47,fgmres ksp_left ksp_right P_max=2,42.556,85.203
392,47,fgmres ksp_left ksp_right P_max=2,41.198,84.323
392,47,fgmres ksp_left ksp_right P_max=2,42.412,85.276
392,47,fgmres ksp_left ksp_right P_max=2,36.804,80.148
392,47,fgmres ksp_left ksp_right P_max=2,37.954,81.046
392,47,fgmres ksp_left ksp_right P_max=2,36.732,81.94
392,47,fgmres ksp_left ksp_right P_max=2,41.299,84.405
392,47,fgmres ksp_left ksp_right P_max=2,39.866,82.867
392,47,fgmres ksp_left ksp_right P_max=2,38.915,81.862
392,47,fgmres ksp_left ksp_right P_max=2,44.304,87.363
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,35.943,79.656
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,37.973,81.309
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.448,82.255
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,35.679,78.189
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.478,83.463
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.872,82.48
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,38.335,81.539
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.931,82.918
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.155,81.72
392,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,37.169,80.351
392,62,fgmres P_max=2,38.038,81.054
392,62,fgmres P_max=2,42.543,85.19
392,62,fgmres P_max=2,39.171,82.076
392,62,fgmres P_max=2,34.624,77.388
392,62,fgmres P_max=2,38.859,81.941
392,62,fgmres P_max=2,39.019,81.719
392,62,fgmres P_max=2,39.124,82.333
392,62,fgmres P_max=2,34.395,77.295
392,62,fgmres P_max=2,37.241,80.814
392,62,fgmres P_max=2,41.429,84.647
448,46,fgmres ksp_right P_max=2,38.459,77.05
448,46,fgmres ksp_right P_max=2,35.984,73.769
448,46,fgmres ksp_right P_max=2,32.804,71.1
448,46,fgmres ksp_right P_max=2,39.736,77.96
448,46,fgmres ksp_right P_max=2,40.557,79.855
448,46,fgmres ksp_right P_max=2,36.521,75.776
448,46,fgmres ksp_right P_max=2,33.332,71.893
448,46,fgmres ksp_right P_max=2,34.71,73.073
448,46,fgmres ksp_right P_max=2,33.51,72.564
448,46,fgmres ksp_right P_max=2,34.375,72.562
448,47,fgmres ksp_left ksp_right P_max=2,35.325,73.118
448,47,fgmres ksp_left ksp_right P_max=2,33.665,71.627
448,47,fgmres ksp_left ksp_right P_max=2,37.447,75.479
448,47,fgmres ksp_left ksp_right P_max=2,39.172,76.717
448,47,fgmres ksp_left ksp_right P_max=2,36.944,75.203
448,47,fgmres ksp_left ksp_right P_max=2,39.247,77.572
448,47,fgmres ksp_left ksp_right P_max=2,34.043,73.62
448,47,fgmres ksp_left ksp_right P_max=2,33.236,71.263
448,47,fgmres ksp_left ksp_right P_max=2,35.794,74.581
448,47,fgmres ksp_left ksp_right P_max=2,34.153,72.569
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.594,77.418
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,37.044,75.939
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,35.004,73.959
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,35.57,73.428
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,35.265,72.974
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,36.166,74.281
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,40.558,78.276
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,32.609,70.357
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,37.764,77.299
448,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,37.939,78.53
448,62,fgmres P_max=2,39.505,77.481
448,62,fgmres P_max=2,35.825,75.216
448,62,fgmres P_max=2,36.61,75.748
448,62,fgmres P_max=2,32.898,71.41
448,62,fgmres P_max=2,36.101,73.888
448,62,fgmres P_max=2,34.863,73.722
448,62,fgmres P_max=2,40.569,78.477
448,62,fgmres P_max=2,38.588,78.508
448,62,fgmres P_max=2,34.862,74.053
448,62,fgmres P_max=2,41.526,79.431
560,46,fgmres ksp_right P_max=2,45.473,79.285
560,46,fgmres ksp_right P_max=2,41.938,78.849
560,46,fgmres ksp_right P_max=2,34.154,70.839
560,46,fgmres ksp_right P_max=2,41.257,76.642
560,46,fgmres ksp_right P_max=2,36.97,73.444
560,46,fgmres ksp_right P_max=2,42.32,78.246
560,46,fgmres ksp_right P_max=2,45.344,82.755
560,46,fgmres ksp_right P_max=2,45.56,83.15
560,46,fgmres ksp_right P_max=2,37.232,73.56
560,46,fgmres ksp_right P_max=2,40.495,76.635
560,47,fgmres ksp_left ksp_right P_max=2,45.306,81.078
560,47,fgmres ksp_left ksp_right P_max=2,44.987,80.351
560,47,fgmres ksp_left ksp_right P_max=2,38.596,73.877
560,47,fgmres ksp_left ksp_right P_max=2,39.231,75.251
560,47,fgmres ksp_left ksp_right P_max=2,40.104,74.132
560,47,fgmres ksp_left ksp_right P_max=2,43.055,78.431
560,47,fgmres ksp_left ksp_right P_max=2,42.528,76.174
560,47,fgmres ksp_left ksp_right P_max=2,45.363,82.16
560,47,fgmres ksp_left ksp_right P_max=2,41.456,78.154
560,47,fgmres ksp_left ksp_right P_max=2,38.844,75.032
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,47.641,82.907
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.387,73.854
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,41.825,78.021
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,39.405,76.359
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,38.669,74.105
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,42.611,78.954
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,41.204,77.8
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,38.269,76.333
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,46.836,84.507
560,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,40.815,76.447
560,62,fgmres P_max=2,38.153,73.515
560,62,fgmres P_max=2,38.87,73.746
560,62,fgmres P_max=2,45.689,80.786
560,62,fgmres P_max=2,37.391,72.281
560,62,fgmres P_max=2,37.314,71.568
560,62,fgmres P_max=2,45.617,78.358
