opt,opt_name,it,Proc,DOFs,Local DOFs,Converged,|R|,PreMem,MemTotal,fep,time,linear,nonlinear
17,cycle_type=w agg_nl=4,4,56,2605124,46300,T,0.00000000606807,3376,1178619352,239.597,547.57,253,3
16,cycle_type=v  agg_nl=4,4,56,2605124,46300,T,0.0000000060681,3376,1178619352,240.789,554.31,253,3
12,gmres,10,56,2605124,46300,T,0.0000000060681,3376,1178619352,240.611,549.78,253,3
16,cycle_type=v  agg_nl=4,7,56,2605124,46300,T,0.000000006068077,3376,1178619352,241.603,552.01,253,3
12,gmres,6,56,2605124,46300,T,0.000000006068071,3376,1178619352,240.549,548.49,253,3
23,cycle_type=w P_max=2,8,56,2605124,46300,T,0.000000006068072,3376,1178619352,240.527,548.68,253,3
30,cycle_type=v interp_type=classical,1,56,2605124,46300,T,0.000000006068081,3376,1178619352,240.108,548.45,253,3
30,cycle_type=v interp_type=classical,4,56,2605124,46300,T,0.000000006068096,3376,1178619352,240.672,546.18,253,3
16,cycle_type=v  agg_nl=4,5,56,2605124,46300,T,0.000000006068097,3376,1178619352,242.309,553.55,253,3
40,cycle_type=v truncfactor=0.5,1,56,2605124,46300,T,0.000000006068098,3376,1178619352,240.352,547.4,253,3
23,cycle_type=w P_max=2,5,56,2605124,46300,T,0.000000006068069,3376,1178619352,240.937,549.1,253,3
17,cycle_type=w agg_nl=4,9,56,2605124,46300,T,0.000000006068087,3376,1178619352,241.444,549.1,253,3
25,cycle_type=w P_max=4,4,56,2605124,46300,T,0.000000006068078,3376,1178619352,241.199,554.65,253,3
17,cycle_type=w agg_nl=4,6,56,2605124,46300,T,0.000000006068103,3376,1178619352,242.704,552.13,253,3
25,cycle_type=w P_max=4,3,56,2605124,46300,T,0.000000006068097,3376,1178619352,239.83,547.28,253,3
25,cycle_type=w P_max=4,7,56,2605124,46300,T,0.000000006068103,3376,1178619352,242.597,552.02,253,3
40,cycle_type=v truncfactor=0.5,9,56,2605124,46300,T,0.000000006068089,3376,1178619352,240.109,546.75,253,3
25,cycle_type=w P_max=4,8,56,2605124,46300,T,0.0000000060681,3376,1178619352,241.723,550.25,253,3
11,fgmres,6,56,2605124,46300,T,0.0000000060681,3376,1190531368,238.962,548.07,253,3
12,gmres,4,56,2605124,46300,T,0.000000006068109,3376,1178619352,240.345,552.25,253,3
30,cycle_type=v interp_type=classical,3,56,2605124,46300,T,0.000000006068102,3376,1178619352,241.542,553.18,253,3
16,cycle_type=v  agg_nl=4,1,56,2605124,46300,T,0.000000006068088,3376,1178619352,240.076,547.99,253,3
16,cycle_type=v  agg_nl=4,2,56,2605124,46300,T,0.000000006068079,3376,1178619352,241.487,598.84,253,3
17,cycle_type=w agg_nl=4,5,56,2605124,46300,T,0.000000006068091,3376,1178619352,241.33,549.71,253,3
23,cycle_type=w P_max=2,2,56,2605124,46300,T,0.000000006068071,3376,1178619352,242.262,550.02,253,3
17,cycle_type=w agg_nl=4,2,56,2605124,46300,T,0.00000000606811,3376,1178619352,242.564,610.54,253,3
40,cycle_type=v truncfactor=0.5,10,56,2605124,46300,T,0.000000006068079,3376,1178619352,239.762,547.27,253,3
12,gmres,7,56,2605124,46300,T,0.000000006068097,3376,1178619352,241.399,549.65,253,3
23,cycle_type=w P_max=2,6,56,2605124,46300,T,0.000000006068095,3376,1178619352,241.479,550.05,253,3
17,cycle_type=w agg_nl=4,8,56,2605124,46300,T,0.000000006068078,3376,1178619352,241.585,549.15,253,3
40,cycle_type=v truncfactor=0.5,8,56,2605124,46300,T,0.00000000606809,3376,1178619352,242.334,550.2,253,3
